group,common_name,vietnamese_name,scientific_name,field_notes,habitat_zone,notable,spot_chance
Mammal,Western black crested gibbon,Vuon den,Nomascus concolor,You'll more likely hear the dawn song than see one. Critically endangered.,Remote primary forest,IUCN Critically Endangered,Rare
Mammal,Mainland serow,Son duong,Capricornis milneedwardsii,"Goat-antelope of steep terrain; shy, mostly crepuscular.",Steep rocky forest,Vietnam Red Book,Rare
Mammal,Asiatic black bear,Gau ngua,Ursus thibetanus,Black with white chest crescent. Present but elusive — a lucky/uneasy sighting.,Remote forest,IUCN Vulnerable,Rare
Amphibian,Sapa spiny frogs,Ech gai,Quasipaa spp.,"Robust stream frogs, spiny-chested males; night, in and beside cold streams.",Streams (night),Regional specialty,Low
Amphibian,Tree frogs,Ech cay,Rhacophorus spp.,Green/patterned frogs with big toe-pads; calling from wet vegetation after dark.,Wet forest (night),,Medium
Amphibian,Asian common toad,Coc nha,Duttaphrynus melanostictus,"Warty, dark ridges on head; hops across damp trail at night.",Trailside & damp ground,,Medium
Reptile,Forest skinks,Than lan bong,Sphenomorphus spp.,"Glossy small lizards darting off warm, sunny sections of trail.",Sunny trail & leaf litter,,Medium
Reptile,Big-headed turtle,Rua dau to,Platysternon megacephalum,"Oversized head, long tail; hides in cool streams. Nocturnal and rare.",Rocky streams (night),IUCN Endangered,Rare
Tree,Po mu (Fujian cypress),Po mu,Fokienia hodginsii,"Aromatic conifer, flattened sprays of scale-leaves; prized, protected stands.",Montane forest,Globally threatened,Medium
Tree,Bamboo,Tre / Truc,Indosasa & Fargesia spp.,Whole stretches of trail tunnel through bamboo — a signature Sapa section.,Mid-elevation slopes,,High
Tree,Chestnut-oaks / beech,,Castanopsis & Lithocarpus spp.,Dominant broadleaf canopy of the montane belt; acorns underfoot.,Montane broadleaf forest,,High
Tree,Fansipan fir,,Abies delavayi var. fansipanensis,Subalpine fir found only on the highest ridges here.,High ridges (>2500m),ENDEMIC,Low
Tree,Chinese hemlock,,Nothotsuga / Tsuga spp.,Old-growth conifer of upper slopes; drooping branchlets.,Upper montane forest,,Low
Tree,Tree fern,Duong xi than go,Cyathea spp.,"Trunked ferns with a crown of huge fronds; wet, shaded gullies.",Wet forest & ravines,,Medium
Tree,Wild banana,Chuoi rung,Musa spp.,"Tall paddle-leaves, red-purple flower spike; clumps in warm valleys.",Foothills & valleys,,High
Flower,Rhododendron / azalea,Do quyen,Rhododendron spp.,Leathery leaves; blazing red/pink blooms in spring (Sept = mostly foliage). Many species here.,Montane to subalpine,Sapa signature,Medium
Flower,Orchids,Phong lan,(many genera),"300+ species, mostly epiphytes clinging to trunks and mossy branches. ID is hard on the move.","Forest, epiphytic",Sapa = 'orchid town',Medium
Flower,Balsams,Bong nuoc,Impatiens spp.,"Succulent trailside herbs, spurred flowers; many endemic to these mountains.",Wet trailside & seeps,Many endemics,Medium
Flower,Begonias,Thu hai duong,Begonia spp.,"Asymmetric fleshy leaves, pink/white flowers on dripping rock faces.",Shaded wet rock,Many endemics,Medium
Herb,Giao co lam,Giao co lam,Gynostemma pentaphyllum,"Climbing vine, 5-leaflet leaves; the famous local herbal 'immortality' tea.",Forest edge & clearings,Medicinal,Low
Herb,Vietnamese ginseng relative,Tam that hoang,Panax stipuleanatus,"Low understory herb of the ginseng family; heavily collected, now scarce.",Shaded montane understory,Vietnam Red Book,Rare
Crop,Rice,Lua,Oryza sativa,"You run straight through the terraces — golden at Sept harvest, mirror-flooded otherwise.",Valley terraces,Course fixture,High
Crop,Tea,Che / Tra,Camellia sinensis,Waist-high glossy bushes on cultivated slopes near villages.,Cultivated slopes,,Medium
Insect,Swallowtail butterflies,Buom phuong,Papilio spp.,"Large, tailed; gather to 'puddle' on damp mud and stream crossings in sun.",Damp trail & streamsides,,Medium
Insect,Golden birdwing,,Troides aeacus,Huge black-and-gold butterfly; unmistakable slow glide in sunny clearings.,Forest clearings,,Low
Snake,Green pit vipers,Ran luc,Trimeresurus spp.,"Bright leaf-green, triangular head, prehensile tail; coils motionless in low bushes and on branches at night — right where your hand reaches on a climb. Several northern species overlap (stejnegeri, gumprechti, albolabris).",Forest edge & low vegetation (night),VENOMOUS - the encounter to plan for,Medium
Snake,Brown-spotted mountain pit viper,,Protobothrops mucrosquamatus,"Slender, long-tailed, tan/brown with dark-edged blotches down the back; terrestrial to low shrubs, ambushes at night. Widely recorded across N. Vietnam mountains.",Montane forest floor & shrubs (night),VENOMOUS,Low-Medium
Snake,Tonkin mountain pit viper,,Ovophis tonkinensis,"Stout, short-tailed, blotched brown; buries into leaf litter and ambushes. A true montane species of the north.",Montane leaf litter (night),VENOMOUS - strongly procoagulant venom,Low
Snake,Horned pit viper,,Protobothrops cornutus,Camouflaged grey-brown with distinctive horn-like scales above each eye. Rare; specifically recorded at Sa Pa. A real sighting event.,Montane forest,VENOMOUS; rare; Sa Pa record,Rare
Snake,Many-banded krait,Ran cap nia,Bungarus multicinctus,"Glossy, narrow white bands on black, rounded body, calm and sluggish by day. Nocturnal and terrestrial - overlaps your night leg in the warm valleys.","Lower valleys, water & village edge (night)",HIGHLY VENOMOUS (neurotoxic) - among the most dangerous,Low
Snake,Banded krait,Ran cap nong,Bungarus fasciatus,"Bold black-and-yellow bands, triangular in cross-section with a ridged spine and blunt tail; slow, docile, nocturnal.",Lowland/foothill near water (night),HIGHLY VENOMOUS (neurotoxic),Low
Snake,Monocled cobra,Ran ho mang,Naja kaouthia,"Rears and spreads a hood with an O-shaped mark when threatened; active dawn/dusk. Lower, warmer, cultivated sections.","Fields & edges, lower elevations",HIGHLY VENOMOUS,Low
Snake,King cobra,Ran ho chua,Ophiophagus hannah,"Very long, olive-brown, narrow hood; can rear a third of its body. Shy and thinly spread - present but rarely met.","Forest & streams, low-mid",HIGHLY VENOMOUS; rare & shy,Rare
Snake,H'mong keelback,,Rhabdophis hmongorum,"Small, metallic purple sheen, orange neck, pale jaw stripe. Described in 2023 from ~2,800 m on Fansipan by H'mong porters - a Hoang Lien signature.","High montane, near water",Rear-fanged (do not handle); Hoang Lien specialty,Rare
Snake,Red-necked keelback,Ran hoa co nho,Rhabdophis subminiatus,"Olive, checkered, with a red-orange patch on the neck; near rice and streams, active by day. Looks like a harmless grass snake.","Rice, ponds & streams",Rear-fanged but MEDICALLY SIGNIFICANT - not harmless,Medium
Snake,Wolf snakes,Ran khuyet,Lycodon spp.,"Small, dark with pale bands - a convincing krait mimic; nocturnal, common around walls and trailsides. Treat any banded night snake as a krait until sure.","Trailside, walls, forest floor (night)",Harmless (but easily mistaken for a krait),Medium
Snake,Rat snakes,Ran rao,Ptyas spp.,"Large, fast, slender, olive to brown; diurnal, flees noisily through leaf litter when you pass.","Fields, edges & forest, lower bands",Harmless,Medium
Snake,Mandarin rat snake,,Euprepiophis mandarinus,"Striking grey with black-ringed yellow diamonds; secretive, likes cool damp highland forest. A beautiful highland find.",Cool montane forest,Harmless,Low
Snake,Green cat snake,Ran rao xanh,Boiga cyanea,"Green (juveniles reddish) with vertical cat-like pupils; slender, arboreal, nocturnal.",Trees & shrubs (night),"Mildly venomous (rear-fang), harmless to people",Low
Snake,Slug-eating snakes,,Pareas spp.,"Tiny, blunt-headed, big-eyed and slow; eats snails and slugs. Utterly harmless.",Wet montane forest (night),Harmless,Low
